#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_aarburgund;Aarburgund;Aarburgund;Aarburgund;;Aarburgund;;;;;;;;;x
d_aarburgund_adj;Aarburgundian;;aarburgunder;;;;;;;;;;;x
d_ain;Ain;Ain;Ain;;Ain;;;;;;;;;x
d_ain_adj;Ainian;;ainer;;;;;;;;;;;x
d_albula;Albula;Albula;Albula;;Albula;;;;;;;;;x
d_albula_adj;Albulan;;albuler;;;;;;;;;;;x
d_allgaeu;Allgäu;Allgäu;Allgäu;;Allgäu;;;;;;;;;x
d_allgaeu_adj;Allgäian;;Allgäer;;;;;;;;;;;x
d_andelfingen;Andelfingen;Andelfingen;Andelfingen;;Andelfingen;;;;;;;;;x
d_andelfingen_adj;Andelfingenian;;andelfingener;;;;;;;;;;;x
d_aosta;Aosta;Aosta;Aosta;;Aosta;;;;;;;;;x
d_aosta_adj;Aostan;;aoster;;;;;;;;;;;x
d_appenzell;Appenzell;Appenzell;Appenzell;;Appenzell;;;;;;;;;x
d_appenzell_adj;Appenzellian;;appenzeller;;;;;;;;;;;x
d_arbongau;Arbongau;Arbongau;Arbongau;;Arbongau;;;;;;;;;x
d_arbongau_adj;Arbongian;;arbonger;;;;;;;;;;;x
d_basel;Basel;Basel;Basel;;Basel;;;;;;;;;x
d_basel_adj;Baselian;;baseler;;;;;;;;;;;x
d_bergamo;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
d_bergamo_adj;Bergramian;;bergramer;;;;;;;;;;;x
d_bern;Bern;Bern;Bern;;Bern;;;;;;;;;x
d_bern_adj;Bernian;;berner;;;;;;;;;;;x
d_besancon;Besancon;Besancon;Besancon;;Besancon;;;;;;;;;x
d_besancon_adj;Besanconian;;besanconer;;;;;;;;;;;x
d_borgomanero;Borgomanero;Borgomanero;Borgomanero;;Borgomanero;;;;;;;;;x
d_borgomanero_adj;Borgomanerian;;borgomanerer;;;;;;;;;;;x
d_bregenz;Bregenz;Bregenz;Bregenz;;Bregenz;;;;;;;;;x
d_bregenz_adj;Bregenzian;;bregenzer;;;;;;;;;;;x
d_breisgau;Breisgau;Breisgau;Breisgau;;Breisgau;;;;;;;;;x
d_breisgau_adj;Breisgian;;breisger;;;;;;;;;;;x
d_brescia;Brescia;Brescia;Brescia;;Brescia;;;;;;;;;x
d_brescia_adj;Brescian;;brescer;;;;;;;;;;;x
d_broye;Broye;Broye;Broye;;Broye;;;;;;;;;x
d_broye_adj;Broyean;;broer;;;;;;;;;;;x
d_chablais;Chablais;Chablais;Chablais;;Chablais;;;;;;;;;x
d_chablais_adj;Chablaisian;;chablaiser;;;;;;;;;;;x
d_chur_raetia;Chur-Raetia;Chur-Raetia;Chur-Raetia;;Chur-Raetia;;;;;;;;;x
d_chur_raetia_adj;Chur-Raetian;;chur-raeter;;;;;;;;;;;x
d_como;Como;Como;Como;;Como;;;;;;;;;x
d_como_adj;Comian;;comer;;;;;;;;;;;x
d_domodossola;Domodossola;Domodossola;Domodossola;;Domodossola;;;;;;;;;x
d_domodossola_adj;Domodossolan;;domodossoler;;;;;;;;;;;x
d_emmental;Emmental;Emmental;Emmental;;Emmental;;;;;;;;;x
d_emmental_adj;Emmentalian;;emmentaler;;;;;;;;;;;x
d_fribourg;Fribourg;Fribourg;Fribourg;;Fribourg;;;;;;;;;x
d_fribourg_adj;Fribourgian;;fribourger;;;;;;;;;;;x
d_fuerstenberg;Fürstenberg;Fürstenberg;Fürstenberg;;Fürstenberg;;;;;;;;;x
d_fuerstenberg_adj;Fürstenbergian;;Fürstenberger;;;;;;;;;;;x
d_geneve;Genève;Genève;Genève;;Genève;;;;;;;;;x
d_geneve_adj;Genèvean;;Genèver;;;;;;;;;;;x
d_glarus;Glarus;Glarus;Glarus;;Glarus;;;;;;;;;x
d_glarus_adj;Glarusian;;glaruser;;;;;;;;;;;x
d_gruyeres;Gruyères;Gruyères;Gruyères;;Gruyères;;;;;;;;;x
d_gruyeres_adj;Gruyèresian;;Gruyèreser;;;;;;;;;;;x
d_knonau;Knonau;Knonau;Knonau;;Knonau;;;;;;;;;x
d_knonau_adj;Knonian;;knoner;;;;;;;;;;;x
d_konstanz;Konstanz;Konstanz;Konstanz;;Konstanz;;;;;;;;;x
d_konstanz_adj;Konstanzian;;konstanzer;;;;;;;;;;;x
d_kyburg;Kyburg;Kyburg;Kyburg;;Kyburg;;;;;;;;;x
d_kyburg_adj;Kyburgian;;kyburger;;;;;;;;;;;x
d_landenberg;Landenberg;Landenberg;Landenberg;;Landenberg;;;;;;;;;x
d_landenberg_adj;Landenbergian;;landenberger;;;;;;;;;;;x
d_lecco;Lecco;Lecco;Lecco;;Lecco;;;;;;;;;x
d_lecco_adj;Leccian;;leccer;;;;;;;;;;;x
d_leventina;Leventina;Leventina;Leventina;;Leventina;;;;;;;;;x
